Number,Group,Name,Instructor,Year,Semester,Method,School,Faculty,Building,Room,Day,Hour
0300-5000,01,בטיחות כללית וחשמל,,2017,א',הדרכה אישית,מדעים מדויקים,פקולטה למדעים מדויקים,,,,
0300-5000,02,בטיחות כללית וחשמל,,2017,ב',הדרכה אישית,מדעים מדויקים,פקולטה למדעים מדויקים,,,,
0300-5001,01,עזרה ראשונה,,2017,א',הדרכה אישית,מדעים מדויקים,פקולטה למדעים מדויקים,,,,
0300-5030,01,פרקים בביולוגיה של התא,פרופ' ורשנר דניאל,2017,א',שיעור,מדעים מדויקים,פקולטה למדעים מדויקים,הנדסת תוכנה,104,ד,10:00-12:00
0321-1104,01,פרקים בפיזיקה קלאסית,"פרופ' ליפשיץ רון
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","ד
ה","13:00-14:00
12:00-14:00"
0321-1104,02,פרקים בפיזיקה קלאסית,"ד""ר חיימוב אהוד",2017,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ד,14:00-15:00
0321-1104,03,פרקים בפיזיקה קלאסית,"ד""ר חיימוב אהוד",2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ד,10:00-11:00
0321-1104,04,פרקים בפיזיקה קלאסית,"ד""ר חיימוב אהוד",2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ב,16:00-17:00
0321-1104,90,פרקים בפיזיקה קלאסית,,2017,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1104,91,פרקים בפיזיקה קלאסית,,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1111,01,מעבדה בפיזיקה א 1,פרופ' אברמוביץ הלינה,2017,א',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,ב,13:00-17:00
0321-1111,03,מעבדה בפיזיקה א 1,פרופ' אברמוביץ הלינה,2017,א',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,א,13:00-17:00
